id,age_group_det,pop,ICD10D,hosp,disease,f_age,l_age
01002,ALT035B40,15634,ICD10D-INS,2372,all,35,40
01002,ALT035B40,15634,ICD10D-J00-J99,100,respiratory,35,40
01002,ALT040B45,13922,ICD10D-A00-B99,41,infectious,40,45
01002,ALT040B45,13922,ICD10D-INS,2039,all,40,45
01002,ALT040B45,13922,ICD10D-J00-J99,94,respiratory,40,45
01002,ALT045B50,17331,ICD10D-A00-B99,64,infectious,45,50
01002,ALT045B50,17331,ICD10D-INS,2674,all,45,50
01002,ALT045B50,17331,ICD10D-J00-J99,156,respiratory,45,50
01002,ALT050B55,18149,ICD10D-A00-B99,58,infectious,50,55
01002,ALT050B55,18149,ICD10D-INS,3020,all,50,55
01002,ALT050B55,18149,ICD10D-J00-J99,147,respiratory,50,55
01002,ALT055B60,15398,ICD10D-A00-B99,83,infectious,55,60
01002,ALT055B60,15398,ICD10D-INS,3118,all,55,60
01002,ALT055B60,15398,ICD10D-J00-J99,159,respiratory,55,60
01002,ALT060B65,13005,ICD10D-A00-B99,58,infectious,60,65
01002,ALT060B65,13005,ICD10D-INS,3026,all,60,65
01002,ALT060B65,13005,ICD10D-J00-J99,160,respiratory,60,65
01002,ALT065B70,11587,ICD10D-A00-B99,86,infectious,65,70
01002,ALT065B70,11587,ICD10D-INS,3496,all,65,70
01002,ALT065B70,11587,ICD10D-J00-J99,193,respiratory,65,70
01002,ALT070B75,10318,ICD10D-A00-B99,116,infectious,70,75
01002,ALT070B75,10318,ICD10D-INS,4149,all,70,75
01002,ALT070B75,10318,ICD10D-J00-J99,205,respiratory,70,75
01002,ALT075B80,11421,ICD10D-A00-B99,145,infectious,75,80
01002,ALT075B80,11421,ICD10D-INS,5207,all,75,80
01002,ALT075B80,11421,ICD10D-J00-J99,306,respiratory,75,80
01002,ALT080B85,6496,ICD10D-A00-B99,103,infectious,80,85
01002,ALT080B85,6496,ICD10D-INS,3561,all,80,85
01002,ALT080B85,6496,ICD10D-J00-J99,168,respiratory,80,85
01002,ALT085B90,3483,ICD10D-A00-B99,99,infectious,85,90
01002,ALT085B90,3483,ICD10D-INS,2589,all,85,90
01002,ALT085B90,3483,ICD10D-J00-J99,154,respiratory,85,90
01002,ALT090UM,2173,ICD10D-A00-B99,119,infectious,90,NA
01002,ALT090UM,2173,ICD10D-INS,2810,all,90,NA
01002,ALT090UM,2173,ICD10D-J00-J99,199,respiratory,90,NA
01003,ALT000,1998,ICD10D-A00-B99,36,infectious,0,NA
01003,ALT000,1998,ICD10D-INS,1558,all,0,NA
01003,ALT000,1998,ICD10D-J00-J99,90,respiratory,0,NA
01003,ALT001B05,7287,ICD10D-A00-B99,53,infectious,1,5
01003,ALT001B05,7287,ICD10D-INS,634,all,1,5
01003,ALT001B05,7287,ICD10D-J00-J99,192,respiratory,1,5
01003,ALT005B10,8841,ICD10D-A00-B99,30,infectious,5,10
01003,ALT005B10,8841,ICD10D-INS,505,all,5,10
01003,ALT005B10,8841,ICD10D-J00-J99,87,respiratory,5,10
01003,ALT010B15,8843,ICD10D-A00-B99,19,infectious,10,15
01003,ALT010B15,8843,ICD10D-INS,609,all,10,15
01003,ALT010B15,8843,ICD10D-J00-J99,35,respiratory,10,15
01003,ALT015B20,10375,ICD10D-A00-B99,50,infectious,15,20
01003,ALT015B20,10375,ICD10D-INS,1184,all,15,20
01003,ALT015B20,10375,ICD10D-J00-J99,97,respiratory,15,20
01003,ALT020B25,13476,ICD10D-A00-B99,55,infectious,20,25
01003,ALT020B25,13476,ICD10D-INS,1853,all,20,25
01003,ALT020B25,13476,ICD10D-J00-J99,138,respiratory,20,25
01003,ALT025B30,15261,ICD10D-A00-B99,48,infectious,25,30
01003,ALT025B30,15261,ICD10D-INS,2489,all,25,30
01003,ALT025B30,15261,ICD10D-J00-J99,145,respiratory,25,30
01003,ALT030B35,13654,ICD10D-A00-B99,62,infectious,30,35
01003,ALT030B35,13654,ICD10D-INS,2546,all,30,35
01003,ALT030B35,13654,ICD10D-J00-J99,122,respiratory,30,35
01003,ALT035B40,12727,ICD10D-A00-B99,40,infectious,35,40
01003,ALT035B40,12727,ICD10D-INS,2172,all,35,40
01003,ALT035B40,12727,ICD10D-J00-J99,80,respiratory,35,40
01003,ALT040B45,12300,ICD10D-A00-B99,43,infectious,40,45
01003,ALT040B45,12300,ICD10D-INS,1955,all,40,45
01003,ALT040B45,12300,ICD10D-J00-J99,100,respiratory,40,45
01003,ALT045B50,16226,ICD10D-A00-B99,63,infectious,45,50
01003,ALT045B50,16226,ICD10D-INS,2681,all,45,50
01003,ALT045B50,16226,ICD10D-J00-J99,101,respiratory,45,50
01003,ALT050B55,17600,ICD10D-A00-B99,62,infectious,50,55
01003,ALT050B55,17600,ICD10D-INS,3164,all,50,55
01003,ALT050B55,17600,ICD10D-J00-J99,134,respiratory,50,55
01003,ALT055B60,15152,ICD10D-A00-B99,82,infectious,55,60
01003,ALT055B60,15152,ICD10D-INS,3424,all,55,60
01003,ALT055B60,15152,ICD10D-J00-J99,208,respiratory,55,60
01003,ALT060B65,12775,ICD10D-A00-B99,90,infectious,60,65
01003,ALT060B65,12775,ICD10D-INS,3225,all,60,65
01003,ALT060B65,12775,ICD10D-J00-J99,226,respiratory,60,65
01003,ALT065B70,12178,ICD10D-A00-B99,130,infectious,65,70
01003,ALT065B70,12178,ICD10D-INS,3888,all,65,70
01003,ALT065B70,12178,ICD10D-J00-J99,269,respiratory,65,70
01003,ALT070B75,10953,ICD10D-A00-B99,173,infectious,70,75
01003,ALT070B75,10953,ICD10D-INS,4607,all,70,75
01003,ALT070B75,10953,ICD10D-J00-J99,312,respiratory,70,75
01003,ALT075B80,12613,ICD10D-A00-B99,255,infectious,75,80
01003,ALT075B80,12613,ICD10D-INS,6143,all,75,80
01003,ALT075B80,12613,ICD10D-J00-J99,416,respiratory,75,80
01003,ALT080B85,7655,ICD10D-A00-B99,206,infectious,80,85
01003,ALT080B85,7655,ICD10D-INS,4663,all,80,85
01003,ALT080B85,7655,ICD10D-J00-J99,282,respiratory,80,85
01003,ALT085B90,4259,ICD10D-A00-B99,179,infectious,85,90
01003,ALT085B90,4259,ICD10D-INS,3364,all,85,90
01003,ALT085B90,4259,ICD10D-J00-J99,240,respiratory,85,90
01003,ALT090UM,2539,ICD10D-A00-B99,103,infectious,90,NA
01003,ALT090UM,2539,ICD10D-INS,2019,all,90,NA
01003,ALT090UM,2539,ICD10D-J00-J99,180,respiratory,90,NA
01004,ALT000,693,ICD10D-A00-B99,39,infectious,0,NA
01004,ALT000,693,ICD10D-INS,403,all,0,NA
01004,ALT000,693,ICD10D-J00-J99,67,respiratory,0,NA
01004,ALT001B05,2701,ICD10D-A00-B99,55,infectious,1,5
01004,ALT001B05,2701,ICD10D-INS,370,all,1,5
01004,ALT001B05,2701,ICD10D-J00-J99,125,respiratory,1,5
01004,ALT005B10,3525,ICD10D-A00-B99,28,infectious,5,10
01004,ALT005B10,3525,ICD10D-INS,271,all,5,10
01004,ALT005B10,3525,ICD10D-J00-J99,40,respiratory,5,10
01004,ALT010B15,3592,ICD10D-A00-B99,34,infectious,10,15
01004,ALT010B15,3592,ICD10D-INS,352,all,10,15
01004,ALT010B15,3592,ICD10D-J00-J99,16,respiratory,10,15
01004,ALT015B20,4617,ICD10D-A00-B99,30,infectious,15,20
01004,ALT015B20,4617,ICD10D-INS,838,all,15,20
01004,ALT015B20,4617,ICD10D-J00-J99,44,respiratory,15,20
01004,ALT020B25,4648,ICD10D-A00-B99,17,infectious,20,25
01004,ALT020B25,4648,ICD10D-INS,808,all,20,25
01004,ALT020B25,4648,ICD10D-J00-J99,49,respiratory,20,25
01004,ALT025B30,5245,ICD10D-A00-B99,10,infectious,25,30
01004,ALT025B30,5245,ICD10D-INS,918,all,25,30
01004,ALT025B30,5245,ICD10D-J00-J99,36,respiratory,25,30
01004,ALT030B35,4649,ICD10D-A00-B99,13,infectious,30,35
01004,ALT030B35,4649,ICD10D-INS,833,all,30,35
01004,ALT030B35,4649,ICD10D-J00-J99,22,respiratory,30,35
01004,ALT035B40,4453,ICD10D-A00-B99,17,infectious,35,40
01004,ALT035B40,4453,ICD10D-INS,728,all,35,40
01004,ALT035B40,4453,ICD10D-J00-J99,20,respiratory,35,40
01004,ALT040B45,4521,ICD10D-A00-B99,13,infectious,40,45
01004,ALT040B45,4521,ICD10D-INS,762,all,40,45
01004,ALT040B45,4521,ICD10D-J00-J99,24,respiratory,40,45
01004,ALT045B50,6128,ICD10D-A00-B99,23,infectious,45,50
01004,ALT045B50,6128,ICD10D-INS,1226,all,45,50
01004,ALT045B50,6128,ICD10D-J00-J99,43,respiratory,45,50
01004,ALT050B55,6414,ICD10D-A00-B99,22,infectious,50,55
01004,ALT050B55,6414,ICD10D-INS,1496,all,50,55
01004,ALT050B55,6414,ICD10D-J00-J99,49,respiratory,50,55
01004,ALT055B60,5782,ICD10D-A00-B99,29,infectious,55,60
01004,ALT055B60,5782,ICD10D-INS,1299,all,55,60
01004,ALT055B60,5782,ICD10D-J00-J99,75,respiratory,55,60
01004,ALT060B65,4805,ICD10D-A00-B99,27,infectious,60,65
01004,ALT060B65,4805,ICD10D-INS,1325,all,60,65
01004,ALT060B65,4805,ICD10D-J00-J99,68,respiratory,60,65
01004,ALT065B70,4453,ICD10D-A00-B99,24,infectious,65,70
01004,ALT065B70,4453,ICD10D-INS,1465,all,65,70
01004,ALT065B70,4453,ICD10D-J00-J99,99,respiratory,65,70
01004,ALT070B75,3852,ICD10D-A00-B99,59,infectious,70,75
01004,ALT070B75,3852,ICD10D-INS,1627,all,70,75
01004,ALT070B75,3852,ICD10D-J00-J99,119,respiratory,70,75
01004,ALT075B80,4696,ICD10D-A00-B99,71,infectious,75,80
01004,ALT075B80,4696,ICD10D-INS,2337,all,75,80
01004,ALT075B80,4696,ICD10D-J00-J99,160,respiratory,75,80
01004,ALT080B85,2642,ICD10D-A00-B99,47,infectious,80,85
01004,ALT080B85,2642,ICD10D-INS,1540,all,80,85
01004,ALT080B85,2642,ICD10D-J00-J99,86,respiratory,80,85
01004,ALT085B90,1473,ICD10D-A00-B99,27,infectious,85,90
01004,ALT085B90,1473,ICD10D-INS,1006,all,85,90
01004,ALT085B90,1473,ICD10D-J00-J99,80,respiratory,85,90
01004,ALT090UM,791,ICD10D-A00-B99,17,infectious,90,NA
01004,ALT090UM,791,ICD10D-INS,588,all,90,NA
01004,ALT090UM,791,ICD10D-J00-J99,36,respiratory,90,NA
01051,ALT000,1094,ICD10D-A00-B99,31,infectious,0,NA
01051,ALT000,1094,ICD10D-INS,1342,all,0,NA
01051,ALT000,1094,ICD10D-J00-J99,64,respiratory,0,NA
01051,ALT001B05,4201,ICD10D-A00-B99,55,infectious,1,5
01051,ALT001B05,4201,ICD10D-INS,419,all,1,5
01051,ALT001B05,4201,ICD10D-J00-J99,116,respiratory,1,5
01051,ALT005B10,5659,ICD10D-A00-B99,35,infectious,5,10
01051,ALT005B10,5659,ICD10D-INS,327,all,5,10
01051,ALT005B10,5659,ICD10D-J00-J99,43,respiratory,5,10
01051,ALT010B15,6266,ICD10D-A00-B99,39,infectious,10,15
01051,ALT010B15,6266,ICD10D-INS,542,all,10,15
01051,ALT010B15,6266,ICD10D-J00-J99,51,respiratory,10,15
01051,ALT015B20,7653,ICD10D-A00-B99,54,infectious,15,20
01051,ALT015B20,7653,ICD10D-INS,1208,all,15,20
01051,ALT015B20,7653,ICD10D-J00-J99,74,respiratory,15,20
01051,ALT020B25,7349,ICD10D-A00-B99,41,infectious,20,25
01051,ALT020B25,7349,ICD10D-INS,1253,all,20,25
01051,ALT020B25,7349,ICD10D-J00-J99,51,respiratory,20,25
01051,ALT025B30,6842,ICD10D-A00-B99,31,infectious,25,30
01051,ALT025B30,6842,ICD10D-INS,1359,all,25,30
01051,ALT025B30,6842,ICD10D-J00-J99,61,respiratory,25,30
01051,ALT030B35,6460,ICD10D-A00-B99,28,infectious,30,35
01051,ALT030B35,6460,ICD10D-INS,1191,all,30,35
01051,ALT030B35,6460,ICD10D-J00-J99,28,respiratory,30,35
01051,ALT035B40,6638,ICD10D-A00-B99,24,infectious,35,40
01051,ALT035B40,6638,ICD10D-INS,1138,all,35,40
01051,ALT035B40,6638,ICD10D-J00-J99,51,respiratory,35,40
01051,ALT040B45,7204,ICD10D-A00-B99,16,infectious,40,45
01051,ALT040B45,7204,ICD10D-INS,1162,all,40,45
01051,ALT040B45,7204,ICD10D-J00-J99,37,respiratory,40,45
01051,ALT045B50,10607,ICD10D-A00-B99,50,infectious,45,50
01051,ALT045B50,10607,ICD10D-INS,1850,all,45,50
01051,ALT045B50,10607,ICD10D-J00-J99,61,respiratory,45,50
01051,ALT050B55,11656,ICD10D-A00-B99,52,infectious,50,55
01051,ALT050B55,11656,ICD10D-INS,2177,all,50,55
01051,ALT050B55,11656,ICD10D-J00-J99,100,respiratory,50,55
01051,ALT055B60,10404,ICD10D-A00-B99,55,infectious,55,60
01051,ALT055B60,10404,ICD10D-INS,2259,all,55,60
01051,ALT055B60,10404,ICD10D-J00-J99,108,respiratory,55,60
01051,ALT060B65,9110,ICD10D-A00-B99,54,infectious,60,65
01051,ALT060B65,9110,ICD10D-INS,2438,all,60,65
01051,ALT060B65,9110,ICD10D-J00-J99,140,respiratory,60,65
01051,ALT065B70,8571,ICD10D-A00-B99,68,infectious,65,70
01051,ALT065B70,8571,ICD10D-INS,2694,all,65,70
01051,ALT065B70,8571,ICD10D-J00-J99,182,respiratory,65,70
01051,ALT070B75,7076,ICD10D-A00-B99,79,infectious,70,75
01051,ALT070B75,7076,ICD10D-INS,2937,all,70,75
01051,ALT070B75,7076,ICD10D-J00-J99,176,respiratory,70,75
01051,ALT075B80,8189,ICD10D-A00-B99,106,infectious,75,80
01051,ALT075B80,8189,ICD10D-INS,4142,all,75,80
01051,ALT075B80,8189,ICD10D-J00-J99,252,respiratory,75,80
01051,ALT080B85,4808,ICD10D-A00-B99,79,infectious,80,85
01051,ALT080B85,4808,ICD10D-INS,2762,all,80,85
01051,ALT080B85,4808,ICD10D-J00-J99,180,respiratory,80,85
01051,ALT085B90,2507,ICD10D-A00-B99,60,infectious,85,90
01051,ALT085B90,2507,ICD10D-INS,1623,all,85,90
01051,ALT085B90,2507,ICD10D-J00-J99,112,respiratory,85,90
01051,ALT090UM,1266,ICD10D-A00-B99,29,infectious,90,NA
01051,ALT090UM,1266,ICD10D-INS,824,all,90,NA
01051,ALT090UM,1266,ICD10D-J00-J99,65,respiratory,90,NA
01053,ALT000,1887,ICD10D-A00-B99,31,infectious,0,NA
01053,ALT000,1887,ICD10D-INS,2026,all,0,NA
01053,ALT000,1887,ICD10D-J00-J99,78,respiratory,0,NA
01053,ALT001B05,7028,ICD10D-A00-B99,59,infectious,1,5
01053,ALT001B05,7028,ICD10D-INS,646,all,1,5
01053,ALT001B05,7028,ICD10D-J00-J99,216,respiratory,1,5
01053,ALT005B10,8810,ICD10D-A00-B99,29,infectious,5,10
01053,ALT005B10,8810,ICD10D-INS,423,all,5,10
01053,ALT005B10,8810,ICD10D-J00-J99,89,respiratory,5,10
01053,ALT010B15,9644,ICD10D-A00-B99,29,infectious,10,15
01053,ALT010B15,9644,ICD10D-INS,579,all,10,15
01053,ALT010B15,9644,ICD10D-J00-J99,27,respiratory,10,15
01053,ALT015B20,10704,ICD10D-A00-B99,66,infectious,15,20
01053,ALT015B20,10704,ICD10D-INS,1206,all,15,20
01053,ALT015B20,10704,ICD10D-J00-J99,71,respiratory,15,20
01053,ALT020B25,9140,ICD10D-A00-B99,60,infectious,20,25
01053,ALT020B25,9140,ICD10D-INS,1364,all,20,25
01053,ALT020B25,9140,ICD10D-J00-J99,108,respiratory,20,25
01053,ALT025B30,9759,ICD10D-A00-B99,41,infectious,25,30
01053,ALT025B30,9759,ICD10D-INS,1678,all,25,30
01053,ALT025B30,9759,ICD10D-J00-J99,82,respiratory,25,30
01053,ALT030B35,10594,ICD10D-A00-B99,40,infectious,30,35
01053,ALT030B35,10594,ICD10D-INS,2031,all,30,35
01053,ALT030B35,10594,ICD10D-J00-J99,88,respiratory,30,35
01053,ALT035B40,11297,ICD10D-A00-B99,35,infectious,35,40
01053,ALT035B40,11297,ICD10D-INS,1720,all,35,40
01053,ALT035B40,11297,ICD10D-J00-J99,75,respiratory,35,40
01053,ALT040B45,11670,ICD10D-A00-B99,47,infectious,40,45
01053,ALT040B45,11670,ICD10D-INS,1588,all,40,45
01053,ALT040B45,11670,ICD10D-J00-J99,75,respiratory,40,45
01053,ALT045B50,16111,ICD10D-A00-B99,67,infectious,45,50
01053,ALT045B50,16111,ICD10D-INS,2445,all,45,50
01053,ALT045B50,16111,ICD10D-J00-J99,111,respiratory,45,50
01053,ALT050B55,18167,ICD10D-A00-B99,77,infectious,50,55
01053,ALT050B55,18167,ICD10D-INS,3277,all,50,55
01053,ALT050B55,18167,ICD10D-J00-J99,123,respiratory,50,55
01053,ALT055B60,15095,ICD10D-A00-B99,86,infectious,55,60
01053,ALT055B60,15095,ICD10D-INS,3331,all,55,60
01053,ALT055B60,15095,ICD10D-J00-J99,154,respiratory,55,60
01053,ALT060B65,11897,ICD10D-A00-B99,71,infectious,60,65
01053,ALT060B65,11897,ICD10D-INS,3151,all,60,65
01053,ALT060B65,11897,ICD10D-J00-J99,186,respiratory,60,65
01053,ALT065B70,10858,ICD10D-A00-B99,89,infectious,65,70
01053,ALT065B70,10858,ICD10D-INS,3541,all,65,70
01053,ALT065B70,10858,ICD10D-J00-J99,189,respiratory,65,70
01053,ALT070B75,9189,ICD10D-A00-B99,120,infectious,70,75
01053,ALT070B75,9189,ICD10D-INS,4256,all,70,75
01053,ALT070B75,9189,ICD10D-J00-J99,261,respiratory,70,75
01053,ALT075B80,11151,ICD10D-A00-B99,205,infectious,75,80
01053,ALT075B80,11151,ICD10D-INS,5935,all,75,80
01053,ALT075B80,11151,ICD10D-J00-J99,353,respiratory,75,80
01053,ALT080B85,6684,ICD10D-A00-B99,179,infectious,80,85
01053,ALT080B85,6684,ICD10D-INS,4200,all,80,85
01053,ALT080B85,6684,ICD10D-J00-J99,254,respiratory,80,85
01053,ALT085B90,3474,ICD10D-A00-B99,104,infectious,85,90
01053,ALT085B90,3474,ICD10D-INS,2784,all,85,90
01053,ALT085B90,3474,ICD10D-J00-J99,192,respiratory,85,90
01053,ALT090UM,1904,ICD10D-A00-B99,80,infectious,90,NA
01053,ALT090UM,1904,ICD10D-INS,1422,all,90,NA
01053,ALT090UM,1904,ICD10D-J00-J99,108,respiratory,90,NA
01054,ALT000,1410,ICD10D-A00-B99,33,infectious,0,NA
01054,ALT000,1410,ICD10D-INS,1396,all,0,NA
01054,ALT000,1410,ICD10D-J00-J99,96,respiratory,0,NA
01054,ALT001B05,5245,ICD10D-A00-B99,78,infectious,1,5
01054,ALT001B05,5245,ICD10D-INS,504,all,1,5
01054,ALT001B05,5245,ICD10D-J00-J99,178,respiratory,1,5
01054,ALT005B10,6571,ICD10D-A00-B99,36,infectious,5,10
01054,ALT005B10,6571,ICD10D-INS,396,all,5,10
01054,ALT005B10,6571,ICD10D-J00-J99,65,respiratory,5,10
01054,ALT010B15,7846,ICD10D-A00-B99,34,infectious,10,15
01054,ALT010B15,7846,ICD10D-INS,556,all,10,15
01054,ALT010B15,7846,ICD10D-J00-J99,24,respiratory,10,15
01054,ALT015B20,9547,ICD10D-A00-B99,41,infectious,15,20
01054,ALT015B20,9547,ICD10D-INS,1197,all,15,20
01054,ALT015B20,9547,ICD10D-J00-J99,99,respiratory,15,20
01054,ALT020B25,9023,ICD10D-A00-B99,45,infectious,20,25
01054,ALT020B25,9023,ICD10D-INS,1345,all,20,25
01054,ALT020B25,9023,ICD10D-J00-J99,84,respiratory,20,25
01054,ALT025B30,9288,ICD10D-A00-B99,27,infectious,25,30
01054,ALT025B30,9288,ICD10D-INS,1623,all,25,30
01054,ALT025B30,9288,ICD10D-J00-J99,52,respiratory,25,30
01054,ALT030B35,8435,ICD10D-A00-B99,35,infectious,30,35
01054,ALT030B35,8435,ICD10D-INS,1629,all,30,35
01054,ALT030B35,8435,ICD10D-J00-J99,54,respiratory,30,35
01054,ALT035B40,8544,ICD10D-A00-B99,32,infectious,35,40
01054,ALT035B40,8544,ICD10D-INS,1315,all,35,40
01054,ALT035B40,8544,ICD10D-J00-J99,55,respiratory,35,40
01054,ALT040B45,9016,ICD10D-A00-B99,26,infectious,40,45
01054,ALT040B45,9016,ICD10D-INS,1346,all,40,45
01054,ALT040B45,9016,ICD10D-J00-J99,52,respiratory,40,45
01054,ALT045B50,12836,ICD10D-A00-B99,54,infectious,45,50
01054,ALT045B50,12836,ICD10D-INS,1927,all,45,50
01054,ALT045B50,12836,ICD10D-J00-J99,73,respiratory,45,50
01054,ALT050B55,14743,ICD10D-A00-B99,59,infectious,50,55
01054,ALT050B55,14743,ICD10D-INS,2577,all,50,55
01054,ALT050B55,14743,ICD10D-J00-J99,107,respiratory,50,55
01054,ALT055B60,12653,ICD10D-A00-B99,37,infectious,55,60
01054,ALT055B60,12653,ICD10D-INS,2442,all,55,60
01054,ALT055B60,12653,ICD10D-J00-J99,123,respiratory,55,60
01054,ALT060B65,10830,ICD10D-A00-B99,59,infectious,60,65
01054,ALT060B65,10830,ICD10D-INS,2666,all,60,65
01054,ALT060B65,10830,ICD10D-J00-J99,166,respiratory,60,65
01054,ALT065B70,10349,ICD10D-A00-B99,76,infectious,65,70
01054,ALT065B70,10349,ICD10D-INS,3022,all,65,70
01054,ALT065B70,10349,ICD10D-J00-J99,191,respiratory,65,70
01054,ALT070B75,8582,ICD10D-A00-B99,116,infectious,70,75
01054,ALT070B75,8582,ICD10D-INS,4332,all,70,75
01054,ALT070B75,8582,ICD10D-J00-J99,216,respiratory,70,75
01054,ALT075B80,10062,ICD10D-A00-B99,117,infectious,75,80
01054,ALT075B80,10062,ICD10D-INS,4731,all,75,80
01054,ALT075B80,10062,ICD10D-J00-J99,281,respiratory,75,80
